Space Engineers;8467.19
Saints Row IV;469.24
Age of Empires II (2013);6677.07
Killing Floor;332.16
Portal;537.84
Chivalry: Medieval Warfare;243.16
Castle Crashers;668.7
Rise of the Tomb Raider;2029.01
No More Room in Hell;366.28
BattleBlock Theater;362.71
Goat Simulator;146.63
Hotline Miami;154.63
Saints Row: The Third;564.95
Divinity: Original Sin 2;9083.64
Dirty Bomb;284.85
The Binding of Isaac;231.78
To the Moon;49.63
Dishonored;501.85
Battlerite;567.36
Ring of Elysium;4070.24
NieR:Automata™;854.63
POSTAL 2;232.82
South Park™: The Stick of Truth™;228.13
PAYDAY: The Heist;44.45
Just Cause 2;221.27
Firewatch;45.49
Spec Ops: The Line;88.15
Brothers - A Tale of Two Sons;19.26
The Stanley Parable;71.91
Mafia II (Classic);555.62
Everlasting Summer;355.64
Broforce;290.57
LIMBO;70.88
DARK SOULS II;314.9
Star Wars: Battlefront 2 (Classic 2005);599.79
Metro 2033 Redux;319.36
Bastion;87.84
Half-Life;1367.23
Game Dev Tycoon;248.58
Rising Storm/Red Orchestra 2 Multiplayer;363.19
Grand Theft Auto: San Andreas;1122.66
Wolfenstein: The New Order;469.76
Slay the Spire;10919.48
Elite Dangerous;5565.81
Batman: Arkham City GOTY;347.26
Emily is Away;14.86
Besiege;388.69
Call of Duty: Black Ops II;202.66
Papers Please;296.29
American Truck Simulator;3921.87
Resident Evil 2;2851.56
Alien: Isolation;148.32
Slime Rancher;1108.36
Fistful of Frags;158.53
Metro: Last Light Redux;330.16
Hitman: Absolution;241.37
Battlefield: Bad Company™ 2;234.35
Alan Wake;83.48
Risk of Rain;154.21
Depth;174.35
Transistor;58.13
ORION: Prelude;12
Verdun;198.32
Hotline Miami 2: Wrong Number;224.04
Life is Strange: Before the Storm;172.17
Max Payne 3;233.58
Sekiro™: Shadows Die Twice;6479.8
Mortal Kombat X;400.57
Mirror;690.7
The Wolf Among Us;73.14
Cry of Fear;106.46
Totally Accurate Battlegrounds;100.16
Magicka;99.24
Watch_Dogs 2;1025.97
SpeedRunners;217.11
Awesomenauts;183.99
Batman™: Arkham Origins;289.28
Batman: Arkham Asylum GOTY Edition;193.37
Hellblade: Senua's Sacrifice;268.6
Amnesia: The Dark Descent;82.91
APB Reloaded;409.24
Super Hexagon;25.38
INSIDE;94.76
Call of Duty: World at War;731.27
The Plan;1.41
Creativerse;402.53
Shadow Warrior;53.94
A Story About My Uncle;71.48
Risk of Rain 2;7753.84
Mirror's Edge;68.05
Prey;622.19
HuniePop;292.68
Fallout 3 - Game of the Year Edition;297.62
Arma 2: Operation Arrowhead;565.32
Devil MayCry 5;1332.96
DiRT Rally;465.42
Alien Swarm;25.83
Miscreated;688.18
The Talos Principle;202.21
Spintires®;464.24
ICEY;11.4
Blood and Bacon;45.28
Duck Game;304.47
Magic Duels;120.73
SOMA;78.99
Trine 2;123.59
NEKOPARA Vol. 1;88.01
BLOCKADE 3D;32.77
Five Nights at Freddy's;56.08
Spiral Knights;213.28
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™;26.82
ABZU;19.53
Stranded Deep;489.64
Serious Sam 3: BFE;134.67
Hurtworld;1602.18
TEKKEN 7;2998.97
Assetto Corsa;2716.77
Scrap Mechanic;1143.31
Watch_Dogs;242.11
The Expendabros;48.89
Dust: An Elysian Tail;26.16
Ryse: Son of Rome;69.37
Hero Siege;313.12
Call of Duty: Ghosts;70.22
Assassin's Creed II;517.11
SUPERHOT;99.34
DmC Devil MayCry;83.06
Layers of Fear;93.82
Day of Infamy;172.17
Tales from the Borderlands;18.85
Skullgirls 2nd Encore;113
Call of Duty: Black Ops;378.86
One Finger Death Punch;24.38
Crypt of the NecroDancer;207.56
L.A. Noire;283.69
A Hat in Time;564.42
Warhammer: End Times - Vermintide;59.68
Half-Life 2: Episode Two;354.37
Iron Snout;30.36
Rogue Legacy;114.29
Age of Empires® III (2007);2223.94
Infestation: The New Z;531.82
METAL GEAR RISING: REVENGEANCE;115.51
Gang Beasts;176.6
Call of Duty: Advanced Warfare;78.97
Town of Salem;875.6
Orcs Must Die! 2;162.09
Tabletop Simulator;2513.86
HELLDIVERS™;259.07
Deus Ex: Human Revolution - Director's Cut;236
How to Survive;30.52
Guns of Icarus Online;19.89
Dragon's Dogma: Dark Arisen;755.77
Brütal Legend;36.69
The Beginner's Guide;9.25
Sniper Elite 3;286.66
DRAGON BALL XENOVERSE;69.63
VA-11 Hall-A: Cyberpunk Bartender Action;159.92
Just Cause 2: Multiplayer Mod;41.52
Antichamber;26.36
Dino D-Day;5.79
Counter-Strike: Condition Zero;424.9
The Darkness II;46
GRID 2;227.63
Sakura Clicker;134.99
Refunct;9.86
Gone Home;6.85
NEKOPARA Vol. 0;24.61
FINAL FANTASY VII;434.48
Sanctum 2;39.41
The Escapists;73.06
STAR WARS™: Knights of the Old Republic™;1043.35
Pillars of Eternity;738.5
